processed_text,encoded_label
imma keep it real with y’all i don’t think the #debates2020 should be on twitch!!!!!!!! 💯💯,2
"@user guess the #cult45 #trumpdrunkmorons can pick their poison... unlike jim jones who only offered one, trump has served up an assortment. #trumpgenocide #ettd #votebluetosaveamerica",2
joe “let’s be reasonable guys not everybody can get medicare” biden #demdebate,2
"pelosi says biden shouldn't debate trump: 'i wouldn't legitimize a conversation with him' http we knew this would happen. nothing will make him rise from the basement. the left will scratch, bite, and eat their own rather than face the president! #maga",0
"@user hey @user, here’s what your own party thinks of you. a billboard paid for by the @user for the world to see. @user will win the #2020election http",2
@user why is it biden’s job to control trump? that is the moderator’s job because trump did not follow the rules agreed upon by his campaign. chris wallace couldn’t control trump and biden took the high road.,2
@user nancy pelosi and the others democrat leaders just think that american people is stupid. this is rude and too un respectful againts people. you are a lier @user #trump #trump2020 #maga #kag2020 #fourmoreyears,0
"can we get a sanders v. warren battle yet? we’ve seen every other fight, but warren needs to take the gloves off against sanders (more than just commenting on online supporters). #demdebate",2
"just a reminder that local races matter now more than ever! take a minute today to confirm/update your voter registration, get info on upcoming elections, and make sure you have a plan to vote! 📮🇺🇸 #2020election #massachusetts #votema http",2
can someone point me to the nearest antifa headquarters so i can sign up? who's the local leader? is there an email for antifa? #maga #debates2020 #trump2020 #bidenharristosaveamerica,1
"new nickname for biden. #bidenstein he’s a puzzle of candidates. plagiarizing trump’s buy american policy, bernie’s yelling, elizabeth warren’s lying. more scary than funny #bidenharris2020tosaveamerica #amjoy #2020election @user @user @user #foxnews",0
@user “they will turn your kids gay right before antifa brainwashes jesus into eating your kids’ brains.” -#rnc2020,2
@user typical. i don't know why nobody stands up to these turds. #dumptrump,1
@user trump lobbied to have disabled vets food trucks removed from outside his building. a right vets had preferred status for since returning from the civil war.,2
"comment: polls are showing that biden is in the lead over trump. they are saying that the debates will have an influence on the outcome. trump is highly respected by leaders of other nations, is recommended for noble peace prize. biden has the personality",2
"@user @user i’m all for third party options. but give the fact that everyone is literally voting for either trump or biden, it’s going to be equivalent to voting for trump or no vote at all 😔",2
"donald trump successfully created a new “american enemy”, china. http #trump #trumptaxreturns #trumpknew #trumpriots #trump2020 #bidenriots #biden #biden2020 #usa #usapolitics #democrat #democratsaredestroyingamerica #republicans #europe #europeanunion",2
arrest made in viral hate crime against 7 year old boy with maga hat http,2
"loved seeing openly lgbtq elected officials @user, @user, and @user assist in delivering the 2020 democratic convention keynote 🇺🇸 🏳️‍🌈 #demconvention #keynote #bidenharris2020",1
"hey @user why isn't $2048 an ounce for #gold a news alert? over 27,000 dow? @user @user #trump2020 #maga #kag! #money #goldprices http",2
@user screw you #democraticnationalconvention #trump #trumpisanationaldisgrace #trumpvirus #dncconvention #wethepeople #biden2020tosaveamerica,1
"@user @user it never fails, they always play the victim and cry. she had the audacity to ask for a female officer. 🤡 #trump2020",0
@user taylor swift wants attention and votes democrats because her payroll depends upon them #trump2020,0
at @user.havasu.cigars getting ready to watch the debate rocking my bad ass new hat compliments of @user gracias hermano! #jeremyjack #jeremyjackcigars #jj23 #trump #maga #lakehavasu #az #arizona #potus http,2
@user a lot of #gop #senators are going to have to figure out where the #moneymaker is going to come from without the @user lining their pockets,2
@user + @user + @user + @user = the a team #biden #election2020 #bernie #obama #warrenendorsesbiden #joebiden #presidentbiden #votebluetosaveamerica #voteblue2020 #notmeus #bluewave2020 #unitedasone #southasian #asian #electionsmatter #novemberiscoming http,1
watching #gma is like a #dnc commercial. so shameful. #fakenews,2
@user we are witnessing that anyone with a half a brain can control people’s thoughts! #trump2020,0
@user who could’ve guessed the party that’s so woefully inept at governing it couldn’t create a plan to repeal &amp; replace obamacare in 8 years would completely wilt under pressure dealing with a pandemic health emergency? #resist #votebluetosaveamerica #knowyourdeplorables,2
@user @user @user @user @user @user and joe biden is 1 trillion in debt. easy to pull random numbers out my ass with no sources.,2
joe has got to get into this fight! oh man! #democraticdebate,2
@user i no longer listen to dr. scarf. she has sold her soul to trump. i believe nothing coming out of this wh. #votebluetosaveamerica,2
kamala harris' dnc speech claimed a new moment for progressive democrats http #leftwing #politics #democrat #bernie,2
this is the america the #democrats desire. disgusting. #walkawayfromdemocrats #maga2020 #maga http,0
"i find it strange that djt would never hire someone at his businesses without a resume stating qualifications...but he thinks his ""resume"" qualified him to be the leader &amp; commander in chief of the usa. 🤔🤔🤔 #votebidenharristosaveamerica #bidenharris2020landslide #biden2020",1
#democratic #whitehouse contender biden says he would pick a woman as vice president http,2
